a00137,Agusta Aerospace Corp,H2T,State Of New Jersey
a00195,Textron Aviation Inc,L2T,State Of South Carolina
a00196,Airbus Helicopters Inc,H1T,Pinellas County Sheriffs Office
a001a0,Bell Helicopter Textron Canada,H2T,State Of Delaware
a001c1,Embraer Executive Aircraft Inc,L2J,State Of Texas
a0020a,Hawker Beechcraft Corp,L2T,State Of West Virginia
a002a3,Cessna,L1P,Alameda County Sheriffs Office
a002c2,Beech,L2T,State Of Tennessee
a003f9,Bell,H1T,State Of Kentucky
a00501,Cessna,L1P,State Of Wisconsin
a00504,Bell,H1T,Marshall County Sheriff Dept
a00871,Cessna,L1P,State Of Louisiana
a008c1,Airbus Helicopters Inc,H1T,Hillsborough County Sheriff's Office
a00d2a,Cessna,L1P,Washington State Patrol
a00fa3,Bell Helicopter Textron Canada,H1T,St Johns County Sheriffs Office
a00fd0,Dji,,Greeley Police Department
a00ff1,Yuneec,H4E,Salt River Police Dept
a010af,Bell Textron Canada Ltd,H1T,City Of Jacksonville Sheriffs Office
a01108,Cessna,L1P,State Of North Carolina
a01270,Dji,,Greeley Police Department
a0127d,Bell,H1T,Washoe County Sheriffs Office
a0175f,Yuneec,L4E,Salt River Police Department
a01883,Textron Aviation Inc,L1P,State Of Minnesota
a019b3,Cessna,L1P,State Of Wisconsin
a01b41,Bell,,Charlotte County Sheriffs Office
a01d04,Piper,L1P,State Of Alaska
a01f35,Piper,L2P,State Of Florida Dept Of Ag And Consumer Services
a0240a,Cessna,L1P,Dale County Sheriffs Office
a02566,Bell,H1T,Jefferson County Sheriffs Office
a0263f,Eurocopter Deutschland Gmbh,H2T,Broward County Sheriffs Office
a0293c,Hughes,H1T,State Of Montana
a02b6e,Cirrus Design Corp,L1P,Harris County Sheriffs Office
a02b78,Bell,H1T,State Of New York
a02c9a,Hawker Beechcraft Corp,L2T,State Of Tennessee
a02d68,Cessna,L1T,State Of New Jersey
a02d83,Mil Moscow Helicopter,H2T,State Of Iowa
a02dc7,Bell,H1T,Pinal County Sheriff Dept
a030c3,Bell,H1T,Livingston Parish Sheriff Dept
a03120,Eurocopter,H1T,San Antonio Police Department
a03188,Bell,H1T,State Of Michigan
a03815,Cessna,L1P,State Of Ohio
a038a1,Bell,H1T,Brevard County Sheriff Office
a03a8c,Dji,H4E,Scottsdale Police Dept
a03e97,Bell,H1T,Osceola County Sheriffs Office
a0400f,Dji,H4E,Salt River Police Department
a04064,Cirrus Design Corp,L1P,Minnesota State Patrol
a041e2,Kurt Lepping,L1P,State Of Alaska
a046c3,Bell,H1T,La Paz Co Sheriffs Dept
a04a1e,Cubcrafters Inc,L1P,Police Science Institute Inc
a04a9b,Beech,L2T,Air Highway
a04b7f,Bell,H1T,Pinal County Sheriffs Office
a04b89,Bell,H1T,Minnesota State Patrol
a04f40,Bell Helicopter Textron Canada,H1T,State Of Minnesota
a05216,Cessna,L1P,State Of Ohio
a052f7,Bell,H2T,New York State Police
a053e1,Bell,H1T,Baxter County Sheriffs Department
a054df,Beech,L2T,State Of Washington
a05798,Bell,,Baxter County Sheriffs Department
a05916,Beech,L2T,Idaho State Police
a06006,Bell,H1T,North Carolina State Highway Patrol
a064fb,Eurocopter,H1T,Austin Police Department
a066c9,Piper,L1P,State Of Alaska
a06781,Bell,H1T,State Of Minnesota
a067fc,Dji,,Tempe Police Department
a06cce,Cessna,L1P,Alabama Law Enforcement Agency
a07357,Beech,L2T,State Of Missouri
a074be,Cessna,L1T,Pennsylvania State Police
a076bf,Bell,H1T,New York State Police
a07a6c,Hughes,H1T,Snohomish County Sheriffs Office
a07a76,Cessna,L1P,New York State Police
a07c86,Hawker Beechcraft Corp,L2P,Puerto Rico Police Department
a0807c,Bell,H1T,Benton County Sheriffs Department
a08577,Cessna,L1T,State Of Alaska
a08583,Dji,,Chippewa County Sheriffs Office
a08ba1,Bell,H1T,Benton County Sheriffs Office
a0944d,Cessna,L1P,Alabama Law Enforcement Agency
a095ef,Gippsaero Pty Ltd,L1P,California Highway Patrol
a0967b,Bell,H1T,Puerto Rico Police Department
a09a32,Bell,H1T,Puerto Rico Police Department
a09c14,Piper,L1P,State Of Alaska
a09d5d,Gippsaero Pty Ltd,L1P,California Highway Patrol
a09de9,Bell,H1T,Puerto Rico Police Dept
a0a0d4,Bell Helicopter Textron Canada,,Office Of The Sheriff
a0a2d7,Physical Sciences Inc,,U S Border Patrol Academy
a0a36d,Gippsaero Pty Ltd,L1P,California Highway Patrol
a0a68e,Physical Sciences Inc,,Us Border Patrol Academy
a0abb1,Hughes,H1T,Spartanburg County Sheriffs Office
a0ac3c,Aeromot,,Al Henry Co Sheriffs Office
a0acf4,Cessna,L1P,Maricopa County Sheriffs Office
a0b1b3,Dji,,Us Border Patrol Academy
a0b5a2,Airbus Helicopters Deutschland,H2T,Las Vegas Metropolitan Police Department
a0b67f,Enstrom Helicopter Corp,H1T,State Of Minnesota Dnr Enforcement Aviation
a0b693,Cessna,L1T,State Of Alaska
a0bf9a,Cessna,L1P,Suffolk County Police Pilots Assoc
a0cafb,Md Helicopters Inc,H1T,San Diego County Sheriff
a0cb7f,Troy Built Models,,State Of Iowa University Of Iowa
a0cea3,Bell,H1T,Montana Highway Patrol
a0d25a,Bell,,Montana Highway Patrol
a0d375,Trimble Navigation Ltd,,State Of Idaho Military Division
a0d44f,Cessna,L1P,Dawn Patrol Flying Club Inc
a0d611,Gippsaero Pty Ltd,L1P,California Highway Patrol
a0d69d,Bell,H1T,Anne Arundel County Police Department
a0d6e8,Bell,H1T,Jackson County Sheriffs Dept
a0d72c,Trimble Navigation Ltd,,State Of Idaho Military Division
a0da54,Bell,H1T,Anne Arundel County Police Department
a0da9c,Bell,H1T,Alabama Law Enforcement Agency
a0dae3,Sensefly Ltd,H4E,State Of Idaho Military Division
a0dcda,Cessna,L1P,Coconino County Sheriffs Office
a0dd42,Cessna,L1P,State Of Florida
a0dd66,Bell,,Gary Police Department
a0ddfe,Md Helicopters Inc,H1T,State Of Minnesota
a0de53,Bell,H1T,Alabama Law Enforcement Agency
a0de56,Bell,H1T,Jackson County Sheriffs Dept
